id,commerce,date,note,avis
1,Boulangerie Le Fournil,2026-01-04,5,"Le pain au levain est incroyable, croustillant et bien aéré. La vendeuse est toujours souriante."
2,Boulangerie Le Fournil,2026-01-06,2,"Les croissants étaient secs et 1,60 € pièce c'est vraiment excessif pour cette qualité."
3,Boulangerie Le Fournil,2026-01-09,4,"Très bonnes viennoiseries, un peu d'attente le dimanche matin mais ça vaut le coup."
4,Boulangerie Le Fournil,2026-01-12,1,"On m'a rendu la monnaie en soupirant et on ne m'a même pas dit bonjour. Plus jamais."
5,Boulangerie Le Fournil,2026-01-15,3,"Correct sans plus. Les prix ont augmenté depuis l'année dernière."
6,Boulangerie Le Fournil,2026-01-19,5,"La meilleure tarte au citron du quartier, et le rapport qualité-prix est imbattable."
7,Boulangerie Le Fournil,2026-01-22,2,"Baguette pas assez cuite deux fois de suite. Dommage, c'était ma boulangerie préférée."
8,Boulangerie Le Fournil,2026-01-27,4,"Personnel sympathique et produits frais. Le choix de sandwichs est un peu limité le midi."
9,Boulangerie Le Fournil,2026-02-02,1,"Trop cher : 7 € pour un sandwich jambon-beurre, c'est du vol."
10,Boulangerie Le Fournil,2026-02-05,5,"Accueil chaleureux, conseils sur les pains spéciaux, je recommande."
11,Boulangerie Le Fournil,2026-02-09,3,"Les gâteaux sont beaux mais trop sucrés à mon goût."
12,Boulangerie Le Fournil,2026-02-14,2,"File d'attente interminable et une seule personne en caisse pendant le rush."
13,Boulangerie Le Fournil,2026-02-18,4,"Bon pain complet, prix raisonnables pour Paris."
14,Boulangerie Le Fournil,2026-02-23,1,"J'ai trouvé un cheveu dans mon éclair. Le vendeur a haussé les épaules."
15,Boulangerie Le Fournil,2026-03-01,5,"Tout est fait maison et ça se sent. Bravo à toute l'équipe !"
16,Boulangerie Le Fournil,2026-03-05,3,"Bonne qualité mais on m'a oublié deux fois alors que j'attendais mon tour."
17,Boulangerie Le Fournil,2026-03-10,2,"La formule déjeuner est passée de 9 à 11 € sans amélioration."
18,Boulangerie Le Fournil,2026-03-14,4,"Pain aux céréales excellent. Service rapide."
19,Boulangerie Le Fournil,2026-03-19,1,"Les pains au chocolat étaient de la veille, clairement réchauffés."
20,Boulangerie Le Fournil,2026-03-24,5,"Une vendeuse adorable qui connaît tous les habitués. Et les produits sont top."
21,Restaurant Chez Margot,2026-01-03,5,"Cuisine savoureuse, produits de saison, et un serveur aux petits soins. Soirée parfaite."
22,Restaurant Chez Margot,2026-01-07,2,"45 minutes d'attente pour le plat principal, et personne ne s'est excusé."
23,Restaurant Chez Margot,2026-01-11,4,"Le bœuf bourguignon était délicieux. L'addition reste un peu salée."
24,Restaurant Chez Margot,2026-01-14,1,"Viande trop cuite alors que j'avais demandé saignant, et le serveur a contesté."
25,Restaurant Chez Margot,2026-01-18,3,"Cadre agréable, cuisine correcte, mais 28 € le plat c'est beaucoup."
26,Restaurant Chez Margot,2026-01-21,5,"Menu du jour à 19 € d'un excellent rapport qualité-prix. Je reviendrai."
27,Restaurant Chez Margot,2026-01-25,2,"Serveuse désagréable qui nous a pressés de partir pour libérer la table."
28,Restaurant Chez Margot,2026-01-30,4,"Desserts maison excellents, service un peu lent mais aimable."
29,Restaurant Chez Margot,2026-02-03,1,"Plat froid, servi sans pain, et facturé des boissons que nous n'avions pas commandées."
30,Restaurant Chez Margot,2026-02-08,3,"Pas mal mais les portions sont petites pour le prix."
31,Restaurant Chez Margot,2026-02-12,5,"Équipe accueillante, carte des vins bien choisie, poisson parfaitement cuit."
32,Restaurant Chez Margot,2026-02-16,2,"Réservation perdue, on nous a fait attendre au bar 30 minutes."
33,Restaurant Chez Margot,2026-02-20,4,"Très bonne cuisine traditionnelle. Un peu bruyant le samedi soir."
34,Restaurant Chez Margot,2026-02-25,1,"Intoxication alimentaire après les huîtres. Aucune réponse à mon email."
35,Restaurant Chez Margot,2026-03-02,5,"Le chef est venu saluer les tables, les plats étaient généreux et raffinés."
36,Restaurant Chez Margot,2026-03-06,3,"Entrée excellente, plat décevant. Service correct."
37,Restaurant Chez Margot,2026-03-11,2,"Le vin au verre à 12 € est franchement abusé."
38,Restaurant Chez Margot,2026-03-15,4,"Accueil souriant et cuisine soignée. Un peu cher mais on se fait plaisir."
39,Restaurant Chez Margot,2026-03-20,1,"Le serveur a renversé du vin sur ma veste et n'a rien proposé."
40,Restaurant Chez Margot,2026-03-25,5,"Rien à redire : qualité, service, prix, tout est au rendez-vous."
41,Épicerie Bio Verte,2026-01-05,4,"Beaux fruits et légumes, producteurs locaux. Un peu plus cher qu'au supermarché."
42,Épicerie Bio Verte,2026-01-10,1,"Fromage périmé vendu en rayon, et on m'a refusé le remboursement."
43,Épicerie Bio Verte,2026-01-13,5,"Le gérant prend le temps d'expliquer l'origine des produits. Top !"
44,Épicerie Bio Verte,2026-01-17,2,"Les prix sont vraiment élevés, 6 € le kilo de pommes."
45,Épicerie Bio Verte,2026-01-23,3,"Bon choix de vrac mais souvent en rupture de stock."
46,Épicerie Bio Verte,2026-01-28,4,"Produits de qualité, caissière gentille, j'y vais chaque semaine."
47,Épicerie Bio Verte,2026-02-01,2,"Légumes abîmés dans mon panier, je ne l'ai vu qu'une fois rentrée."
48,Épicerie Bio Verte,2026-02-06,5,"Excellente sélection de produits locaux à des prix justes."
49,Épicerie Bio Verte,2026-02-11,1,"Personnel froid, aucune aide pour trouver les produits. Et c'est hors de prix."
50,Épicerie Bio Verte,2026-02-15,3,"Magasin propre, produits corrects, rien d'exceptionnel."
51,Épicerie Bio Verte,2026-02-19,4,"Le pain bio et les œufs sont excellents. Horaires un peu restreints."
52,Épicerie Bio Verte,2026-02-24,2,"On m'a facturé deux fois le même article, la caissière n'a pas voulu vérifier."
53,Épicerie Bio Verte,2026-03-03,5,"Accueil adorable, conseils précieux, et les promotions de fin de journée sont top."
54,Épicerie Bio Verte,2026-03-08,3,"Qualité au rendez-vous mais mon budget ne suit pas."
55,Épicerie Bio Verte,2026-03-12,1,"Viande sous vide avec une odeur bizarre. Je n'y achète plus de produits frais."
56,Épicerie Bio Verte,2026-03-16,4,"Très bonne épicerie de quartier, le personnel connaît ses produits."
57,Épicerie Bio Verte,2026-03-21,2,"Le programme fidélité ne compense pas des prix 30 % plus chers qu'ailleurs."
58,Épicerie Bio Verte,2026-03-26,5,"Fraîcheur irréprochable et équipe très serviable."
59,Épicerie Bio Verte,2026-03-28,3,"Bons produits, mais attente en caisse trop longue le samedi."
60,Épicerie Bio Verte,2026-03-30,4,"J'apprécie la qualité, même si certains prix piquent un peu."
