id,sentiment_ref,themes_ref
1,positif,qualité|service
2,négatif,prix|qualité
3,positif,qualité|service
4,négatif,service
5,neutre,prix
6,positif,prix|qualité
7,négatif,qualité
8,positif,qualité|service
9,négatif,prix
10,positif,service
11,neutre,qualité
12,négatif,service
13,positif,prix|qualité
14,négatif,qualité|service
15,positif,qualité
16,neutre,qualité|service
17,négatif,prix
18,positif,qualité|service
19,négatif,qualité
20,positif,qualité|service
21,positif,qualité|service
22,négatif,service
23,positif,prix|qualité
24,négatif,qualité|service
25,neutre,prix|qualité
26,positif,prix|qualité
27,négatif,service
28,positif,qualité|service
29,négatif,prix|qualité|service
30,neutre,prix|qualité
31,positif,qualité|service
32,négatif,service
33,positif,qualité
34,négatif,qualité|service
35,positif,qualité|service
36,neutre,qualité|service
37,négatif,prix
38,positif,prix|qualité|service
39,négatif,service
40,positif,prix|qualité|service
41,positif,prix|qualité
42,négatif,qualité|service
43,positif,service
44,négatif,prix
45,neutre,qualité
46,positif,qualité|service
47,négatif,qualité
48,positif,prix|qualité
49,négatif,prix|service
50,neutre,qualité
51,positif,qualité
52,négatif,prix|service
53,positif,prix|service
54,neutre,prix|qualité
55,négatif,qualité
56,positif,qualité|service
57,négatif,prix
58,positif,qualité|service
59,neutre,qualité|service
60,positif,prix|qualité
