id,model,sentiment,themes,input_tokens,output_tokens,latency_s,sentiment_ref,themes_ref
1,claude-haiku-4-5,positif,qualité|service,538,37,2.680379915982485,positif,qualité|service
2,claude-haiku-4-5,négatif,prix|qualité,536,37,2.7736147502437234,négatif,prix|qualité
3,claude-haiku-4-5,positif,qualité|service,533,39,2.340143209323287,positif,qualité|service
4,claude-haiku-4-5,négatif,service,536,38,2.185166624840349,négatif,service
5,claude-haiku-4-5,neutre,prix,523,34,2.6114735826849937,neutre,prix
6,claude-haiku-4-5,positif,prix|qualité,531,43,1.2116457079537213,positif,prix|qualité
7,claude-haiku-4-5,négatif,qualité,536,41,1.0592938750050962,négatif,qualité
8,claude-haiku-4-5,positif,qualité|service,530,39,1.0437458329834044,positif,qualité|service
9,claude-haiku-4-5,négatif,prix,531,37,1.7650439171120524,négatif,prix
10,claude-haiku-4-5,positif,qualité|service,528,46,1.5725561250001192,positif,service
11,claude-haiku-4-5,neutre,qualité,524,36,0.9517226247116923,neutre,qualité
12,claude-haiku-4-5,négatif,service,526,39,1.385358459316194,négatif,service
13,claude-haiku-4-5,positif,prix|qualité,519,38,0.9754774593748152,positif,prix|qualité
14,claude-haiku-4-5,négatif,qualité|service,531,39,1.0679305829107761,négatif,qualité|service
15,claude-haiku-4-5,positif,qualité,528,36,1.0630766251124442,positif,qualité
16,claude-haiku-4-5,négatif,qualité|service,529,43,1.1203801659867167,neutre,qualité|service
17,claude-haiku-4-5,négatif,prix,529,41,1.5290553751401603,négatif,prix
18,claude-haiku-4-5,positif,qualité|service,516,36,0.9071192909032106,positif,qualité|service
19,claude-haiku-4-5,négatif,qualité,525,33,0.9382194168865681,négatif,qualité
20,claude-haiku-4-5,positif,qualité|service,527,40,1.0563063342124224,positif,qualité|service
21,claude-haiku-4-5,positif,qualité|service,536,39,0.9705746667459607,positif,qualité|service
22,claude-haiku-4-5,négatif,service,530,29,1.032329250127077,négatif,service
23,claude-haiku-4-5,positif,prix|qualité,526,32,1.1596636669710279,positif,prix|qualité
24,claude-haiku-4-5,négatif,qualité|service,533,41,1.4011142910458148,négatif,qualité|service
25,claude-haiku-4-5,neutre,prix|qualité,531,42,1.645290750078857,neutre,prix|qualité
26,claude-haiku-4-5,positif,prix|qualité,528,36,0.9579754578880966,positif,prix|qualité
27,claude-haiku-4-5,négatif,service,527,39,1.1582474587485194,négatif,service
28,claude-haiku-4-5,positif,qualité|service,523,36,0.9398639998398721,positif,qualité|service
29,claude-haiku-4-5,négatif,prix|qualité|service,534,46,0.9663879591971636,négatif,prix|qualité|service
30,claude-haiku-4-5,neutre,prix|qualité,518,35,1.327555709052831,neutre,prix|qualité
31,claude-haiku-4-5,positif,qualité|service,530,44,1.1816642079502344,positif,qualité|service
32,claude-haiku-4-5,négatif,service,525,32,0.9517356660217047,négatif,service
33,claude-haiku-4-5,positif,qualité,525,36,1.0402554171159863,positif,qualité
34,claude-haiku-4-5,négatif,qualité|service,529,44,0.9892656672745943,négatif,qualité|service
35,claude-haiku-4-5,positif,qualité|service,527,36,1.0895681669935584,positif,qualité|service
36,claude-haiku-4-5,négatif,qualité|service,520,40,1.5678021251223981,neutre,qualité|service
37,claude-haiku-4-5,négatif,prix,523,37,1.0852714171633124,négatif,prix
38,claude-haiku-4-5,positif,prix|qualité|service,529,47,1.6127098752185702,positif,prix|qualité|service
39,claude-haiku-4-5,négatif,service,528,39,1.09927974967286,négatif,service
40,claude-haiku-4-5,positif,prix|qualité|service,527,34,0.8942163749597967,positif,prix|qualité|service
41,claude-haiku-4-5,positif,prix|qualité,530,42,1.1355929169803858,positif,prix|qualité
42,claude-haiku-4-5,négatif,qualité|service,531,40,1.5509922499768436,négatif,qualité|service
43,claude-haiku-4-5,positif,qualité|service,526,32,0.9586250828579068,positif,service
44,claude-haiku-4-5,négatif,prix,525,31,1.0844651251100004,négatif,prix
45,claude-haiku-4-5,neutre,service,521,33,1.1601320416666567,neutre,qualité
46,claude-haiku-4-5,positif,qualité|service,528,43,0.9636775418184698,positif,qualité|service
47,claude-haiku-4-5,négatif,qualité,532,38,1.0185302500613034,négatif,qualité
48,claude-haiku-4-5,positif,prix|qualité,522,34,0.9807846248149872,positif,prix|qualité
49,claude-haiku-4-5,négatif,prix|service,530,36,1.23178575001657,négatif,prix|service
50,claude-haiku-4-5,neutre,qualité,525,36,1.0973681672476232,neutre,qualité
51,claude-haiku-4-5,positif,qualité|service,526,32,1.0317317922599614,positif,qualité
52,claude-haiku-4-5,négatif,prix|service,532,35,1.0088071660138667,négatif,prix|service
53,claude-haiku-4-5,positif,prix|service,529,40,1.472511083818972,positif,prix|service
54,claude-haiku-4-5,neutre,prix|qualité,520,40,1.2879247912205756,neutre,prix|qualité
55,claude-haiku-4-5,négatif,qualité,530,42,1.1052838750183582,négatif,qualité
56,claude-haiku-4-5,positif,qualité|service,525,40,1.0259517501108348,positif,qualité|service
57,claude-haiku-4-5,négatif,prix,527,35,0.9645737088285387,négatif,prix
58,claude-haiku-4-5,positif,qualité|service,523,39,1.0016601248644292,positif,qualité|service
59,claude-haiku-4-5,neutre,qualité|service,525,40,1.8879665406420827,neutre,qualité|service
60,claude-haiku-4-5,positif,prix|qualité,525,35,0.9515755833126605,positif,prix|qualité
1,claude-sonnet-5,positif,qualité|service,669,55,2.7408958333544433,positif,qualité|service
2,claude-sonnet-5,négatif,prix|qualité,669,50,2.7752142078243196,négatif,prix|qualité
3,claude-sonnet-5,positif,qualité|service,669,60,2.606651875190437,positif,qualité|service
4,claude-sonnet-5,négatif,service,672,47,2.5835025417618454,négatif,service
5,claude-sonnet-5,neutre,prix,659,50,2.7960169999860227,neutre,prix
6,claude-sonnet-5,positif,prix|qualité,664,56,2.126294208224863,positif,prix|qualité
7,claude-sonnet-5,négatif,qualité,669,50,2.0055219582282007,négatif,qualité
8,claude-sonnet-5,positif,qualité|service,665,55,1.922206458169967,positif,qualité|service
